Block,BlockLayers,DecoderSubmodule,LeafModule,KernelName,Calls,Total_us,PerLayer_us
G,1,LogitsProcessor,LogitsProcessor,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDS",4,435.4,108.86
G,1,LogitsProcessor,LogitsProcessor,"_ZN5aiter13allgather_vecIDF16bLi4EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEPT_ii",4,32.9,8.22
G,1,LogitsProcessor,LogitsProcessor,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::oper",4,18.6,4.65
G,1,LogitsProcessor,LogitsProcessor,"Memcpy DtoD (Device -> Device)",4,18.6,4.65
G,1,LogitsProcessor,LogitsProcessor,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1",3,18.2,4.56
G,1,LogitsProcessor,LogitsProcessor,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>)",4,18.1,4.53
G,1,LogitsProcessor,LogitsProcessor,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, long>, (rocprim::ROCPRIM_400200_NS::detai",4,17.2,4.30
G,1,LogitsProcessor,LogitsProcessor,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16",4,17.0,4.25
G,1,LogitsProcessor,LogitsProcessor,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",3,13.6,3.41
G,1,LogitsProcessor,LogitsProcessor,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<lon",1,4.7,1.17
G,1,RMSNorm,RMSNorm,"_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb",4,464.6,116.15
G,1,Sampler,Sampler,"void aiter::greedy_sample_kernel<float, 1024, 16>(float const*, int*, int, int)",4,47.6,11.90
G,1,VocabParallelEmbedding,VocabParallelEmbedding,"_vocab_parallel_embedding_kernel",4,277.2,69.30
